au,mean_R,mean_T,mean_N,std_R,std_T,std_N,mean_density,std_density,mean_temperature,std_temperature,beta_parallel,anisotropy,taylor_epsilon,shift_k_coef
0.1,534.5816650390625,-54.7412109375,-22.960554122924805,31.831085205078125,43.74921417236328,100.12480926513672,202.6702117919922,97.88236999511719,95.58694458007812,21.085851669311523,0.11567488,1.5384952,0.8315962134963615,4.526937356479918
0.10200000000000001,554.0684204101562,-74.79362487792969,-17.074058532714844,44.66456985473633,40.47551345825195,104.01280212402344,217.22976684570312,103.352783203125,117.6334457397461,30.650344848632812,0.21672836,1.3169588,0.5775100908924996,2.9905117811790953
0.10400000000000001,561.1143188476562,-80.63029479980469,-37.11181640625,58.71638488769531,46.73492431640625,105.51961517333984,246.71510314941406,133.3443145751953,122.73490142822266,34.50319290161133,0.349039,1.2156662,0.48851377878360686,2.294859572050706
0.10600000000000001,547.9373168945312,-70.539794921875,-22.586326599121094,59.541385650634766,45.84706497192383,108.87024688720703,208.0513153076172,120.85111236572266,115.62156677246094,36.40452194213867,0.29588285,1.1836256,0.9705367890933572,3.679559447551683
0.10800000000000001,479.32574462890625,-46.13750076293945,-64.30912780761719,31.922487258911133,41.025428771972656,84.29295349121094,162.4139404296875,60.60497283935547,108.37187957763672,16.147111892700195,0.14377764,1.3767823,0.461780667084909,3.2402461319090063
0.11000000000000001,469.7438659667969,-59.532413482666016,-68.80265045166016,41.118019104003906,52.7147331237793,95.18721771240234,193.13363647460938,82.30009460449219,132.0044403076172,26.018518447875977,0.3335891,1.1141669,0.48214689786087006,2.5558733241673286
0.11200000000000002,454.8453674316406,-85.3839340209961,11.541450500488281,54.27094268798828,45.748165130615234,72.3729476928711,205.42691040039062,102.19734954833984,128.33074951171875,29.285791397094727,0.40052232,1.0451908,0.3290386256518244,2.120536809616591
0.11400000000000002,396.7428283691406,-35.000972747802734,-60.423824310302734,30.001131057739258,36.78727340698242,86.86587524414062,201.20318603515625,81.50084686279297,82.3646011352539,13.613286018371582,0.19111632,1.1668494,0.49606182165508944,2.9317413176448603
0.11600000000000002,391.3387145996094,-40.870426177978516,-27.84733772277832,27.922082901000977,27.435882568359375,38.92548751831055,208.9576873779297,76.99654388427734,68.1629867553711,13.591511726379395,0.14592063,1.2652059,0.427756779937964,4.021834508472451
0.11800000000000002,381.17742919921875,-56.46892166137695,-19.3718204498291,19.573043823242188,31.429494857788086,36.8695182800293,273.3641662597656,74.0893325805664,61.41762161254883,11.024577140808105,0.16148742,1.4733845,0.20166551546871694,2.2844919676472495
0.12000000000000002,431.8154296875,-54.18054962158203,-25.42704200744629,46.86309814453125,36.85190963745117,60.81193542480469,220.18882751464844,99.53889465332031,72.41413879394531,21.62057113647461,0.24201103,1.2298683,0.5236216442410077,2.9386487048582346
0.12200000000000003,419.2016296386719,-55.8582763671875,-13.531049728393555,25.549301147460938,37.52360153198242,59.05927658081055,219.8244171142578,107.6612319946289,58.08489990234375,13.58467960357666,0.16056304,1.5079843,0.38881690113604483,2.6796034946718263
0.12400000000000003,432.3184509277344,-48.042423248291016,-19.071491241455078,18.934648513793945,24.132158279418945,52.66830825805664,221.9713592529297,91.8012466430664,58.31433868408203,9.130226135253906,0.1706168,1.5028319,0.35776955446953,2.8383160713818816
0.12600000000000003,458.0132751464844,-56.97393798828125,-24.072307586669922,27.964160919189453,28.06841278076172,53.95587158203125,231.35321044921875,88.95508575439453,69.29667663574219,12.775057792663574,0.29501453,1.2676859,0.2529292559570719,2.044172594755487
0.12800000000000003,486.2215270996094,-74.51871490478516,-62.21464538574219,48.258731842041016,31.255632400512695,54.763755798339844,290.5912170410156,60.69453430175781,77.26856994628906,15.354081153869629,0.46442333,1.2054678,0.12502141091589994,1.3728208997235818
0.13000000000000003,446.09368896484375,-52.013458251953125,-29.94430923461914,28.698444366455078,23.10199737548828,61.37440872192383,226.3942413330078,89.35760498046875,60.24648666381836,12.292963981628418,0.2604026,1.3128917,0.287517963216056,2.087788572408254
0.13200000000000003,457.01092529296875,-56.695072174072266,-6.685133457183838,35.56669998168945,18.099231719970703,71.48857879638672,194.02920532226562,91.32078552246094,66.38510131835938,14.082441329956055,0.34375742,1.163234,0.37157354310822727,2.172380461030002
0.13400000000000004,427.1709289550781,-47.54465103149414,-13.99142837524414,21.053634643554688,15.464460372924805,62.92698287963867,208.2418212890625,77.78388214111328,52.03274154663086,7.71156644821167,0.19864675,1.4195303,0.29757007527770263,2.2230914555402914
0.13600000000000004,456.080322265625,-59.34550857543945,-18.617313385009766,47.791954040527344,25.339933395385742,60.89552688598633,226.59698486328125,100.8335189819336,62.0253791809082,18.82323455810547,0.39399517,1.1698956,0.24733239839024748,1.7068139802832885
0.13800000000000004,457.6585388183594,-44.73514175415039,-43.217899322509766,42.78843688964844,23.50604248046875,54.97578811645508,148.39500427246094,105.41880798339844,64.40739440917969,22.512353897094727,0.27300736,0.9987082,0.45200801905500465,2.849155283562009
0.14000000000000004,467.8317565917969,-68.16630554199219,-50.71642303466797,37.50730895996094,23.625499725341797,54.92778778076172,242.58413696289062,76.63436889648438,63.920433044433594,12.956099510192871,0.4173542,1.220973,0.14103397344506766,1.4518904270543014
0.14200000000000004,466.2452087402344,-82.66938781738281,-33.580078125,33.2493896484375,30.80240821838379,50.486698150634766,220.4594268798828,65.26456451416016,77.37156677246094,15.954073905944824,0.5096113,1.2215326,0.15350756605999688,1.5093830944899633
0.14400000000000004,517.4945068359375,-58.1065788269043,-38.53825378417969,61.14434814453125,24.965118408203125,56.13561248779297,54.01875686645508,63.83332824707031,93.54273986816406,24.04834747314453,0.18312098,1.0872147,0.15431983439610147,1.765706679880552
0.14600000000000005,476.7117614746094,-70.45695495605469,-35.74454116821289,48.57526779174805,34.39311981201172,60.34102249145508,135.44931030273438,91.95308685302734,74.98297882080078,19.147022247314453,0.5437586,0.93102753,0.606911783380571,2.6851722278306025
0.14800000000000005,456.02008056640625,-38.03865051269531,-61.22062301635742,28.430782318115234,21.87019920349121,69.71343231201172,93.92168426513672,60.10694885253906,61.62009811401367,15.432226181030273,0.22229554,0.9612642,0.24955312530910226,2.0510169399358613
0.15000000000000005,448.4643249511719,-52.081851959228516,-35.330387115478516,28.851524353027344,25.383403778076172,71.6840591430664,113.36137390136719,57.688175201416016,62.03337860107422,13.190848350524902,0.27684465,1.102886,0.5957951791376265,3.076330109090054
